statistic	source	condition	score	p_value
norm_wmean	ELF1	t4_t3	-1.947177558597972	0.12
norm_wmean	ELF1	t8_t4	0.5681810951227841	0.78
norm_wmean	ELF3	t0.5_t0	1.7106842080793716	0.8
norm_wmean	ELF3	t1_t0.5	0.929408177802394	0.94
norm_wmean	ELF3	t2_t1	1.4945821857802308	1
norm_wmean	ELF3	t3_t2	-3.2199638669541057	0.02
norm_wmean	ELF3	t4_t3	-1.309592862329019	0.24
norm_wmean	ELF3	t8_t4	0.09767459942390046	0.76
norm_wmean	ELK1	t0.5_t0	13.843081862746526	0.02
norm_wmean	ELK1	t1_t0.5	-7.620866295194691	0.02
norm_wmean	ELK1	t2_t1	-3.968587470210513	0.02
norm_wmean	ELK1	t3_t2	-2.419782667004956	0.06
norm_wmean	ELK1	t4_t3	-2.4548399728048915	0.02
norm_wmean	ELK1	t8_t4	-3.0309692146561615	0.2
norm_wmean	ELK4	t0.5_t0	6.960538992842336	0.02
norm_wmean	ELK4	t1_t0.5	-5.010198460112272	0.02
norm_wmean	ELK4	t2_t1	0.4794815728792627	0.020000000000000018
norm_wmean	ELK4	t3_t2	-3.11616616885533	0.02
norm_wmean	ELK4	t4_t3	0.20896301600900766	0.1200000000000001
norm_wmean	ELK4	t8_t4	-0.8901376655090881	0.88
norm_wmean	EPAS1	t0.5_t0	5.091014129673166	0.02
norm_wmean	EPAS1	t1_t0.5	0.5626599564914893	0.5800000000000001
norm_wmean	EPAS1	t2_t1	2.1379909062546827	0.8400000000000001
norm_wmean	EPAS1	t3_t2	0.240049191515206	0.26
norm_wmean	EPAS1	t4_t3	-0.15607011036028248	0.6000000000000001
norm_wmean	EPAS1	t8_t4	-4.781726324698849	0.02
norm_wmean	ERG	t0.5_t0	0.7726367437345	0.15999999999999992
norm_wmean	ERG	t1_t0.5	0.8407319737396013	0.96
norm_wmean	ERG	t2_t1	3.378482530377461	0.1
norm_wmean	ERG	t3_t2	0.8608503350044824	0.82
norm_wmean	ERG	t4_t3	-0.9988885060782032	0.54
norm_wmean	ERG	t8_t4	-4.1679332463246705	0.02
norm_wmean	ESR1	t0.5_t0	6.397473734387321	0.9199999999999999
norm_wmean	ESR1	t1_t0.5	-1.9745755745894848	0.06
norm_wmean	ESR1	t2_t1	3.7923602784996406	0.21999999999999997
norm_wmean	ESR1	t3_t2	-2.8478362077094204	0.02
norm_wmean	ESR1	t4_t3	-0.12141754932524165	0.74
norm_wmean	ESR1	t8_t4	-4.880541247136696	0.1
norm_wmean	ESR2	t0.5_t0	0.24659287568993457	0.5
norm_wmean	ESR2	t1_t0.5	-1.6807859587971175	0.16
norm_wmean	ESR2	t2_t1	3.4133051579921374	0.08
norm_wmean	ESR2	t3_t2	-0.7071947372967313	0.74
norm_wmean	ESR2	t4_t3	0.011266200161917045	0.24
norm_wmean	ESR2	t8_t4	-0.7090729297698084	0.21999999999999997
norm_wmean	ESRRA	t0.5_t0	0.5482595066851673	0.28
norm_wmean	ESRRA	t1_t0.5	0.5497599650838528	0.32000000000000006
norm_wmean	ESRRA	t2_t1	1.3196744709575163	0.6000000000000001
norm_wmean	ESRRA	t3_t2	0.4383766554600349	0.88
norm_wmean	ESRRA	t4_t3	0.9926220944116989	0.88
norm_wmean	ESRRA	t8_t4	-1.6618552014679588	0.36
norm_wmean	ETS1	t0.5_t0	15.772276864679506	0.02
norm_wmean	ETS1	t1_t0.5	-2.924770854232777	0.02
norm_wmean	ETS1	t2_t1	0.9375244591069127	0.28
norm_wmean	ETS1	t3_t2	-2.6188993491346864	0.02
norm_wmean	ETS1	t4_t3	-1.7638316099128117	0.08
norm_wmean	ETS1	t8_t4	-6.231879395397039	0.08
norm_wmean	ETS2	t0.5_t0	8.295184257403532	0.02
norm_wmean	ETS2	t1_t0.5	-3.4459370818458828	0.02
