condition	type	feature	score
t1_t0.5	measurement	RARB	2.151678308676912
t8_t4	measurement	MEIS2	2.151331521596015
t2_t1	measurement	GFI1B	2.1465393203481598
t4_t3	measurement	MBD1	2.145022264252732
t2_t1	measurement	EPAS1	2.1379909062546827
t2_t1	measurement	ARID3A	2.135520312109295
t4_t3	measurement	SP3	-2.135104863014645
t2_t1	measurement	MAF	2.1239293578370515
t3_t2	measurement	RARB	2.1225329395388735
t4_t3	measurement	PROX1	-2.122246250236135
t2_t1	measurement	EBF1	2.12067594560403
t3_t2	measurement	HOXA9	-2.1166903986691183
t0.5_t0	measurement	TEAD2	2.1134581206682888
t8_t4	measurement	MYC	2.109454427021322
t4_t3	measurement	CEBPA	-2.1043965476039155
t3_t2	measurement	MYOD1	-2.0948198175504893
t4_t3	measurement	TWIST1	2.094301433990436
t0.5_t0	measurement	MAZ	2.0911908051167822
t0.5_t0	measurement	RELB	2.0900726430943886
t2_t1	measurement	PROX1	2.082316997278019
t4_t3	measurement	NFIC	2.0782827245333233
t3_t2	measurement	POU5F1	-2.0707499354255416
t2_t1	measurement	ZNF274	-2.067628973777616
t8_t4	measurement	MEF2C	-2.0656049262345304
t3_t2	measurement	MAFK	2.061572386261443
t2_t1	measurement	SRF	-2.059011497296881
t1_t0.5	measurement	IKZF1	-2.0581576296763084
t3_t2	measurement	NR2F1	2.05366066599908
t2_t1	measurement	PAX5	-2.0512085952457766
t0.5_t0	measurement	POU4F2	2.0500740731330906
t2_t1	measurement	SREBF1	-2.048828288538899
t8_t4	measurement	NRF1	2.048143738533864
t2_t1	measurement	TEAD2	2.045601818820554
t8_t4	measurement	AHR	-2.0389997571038045
t1_t0.5	measurement	JUN	2.037837702977446
t0.5_t0	measurement	GLI2	2.0340775722861437
t2_t1	measurement	NFYB	-2.033121394327257
t3_t2	measurement	IRF8	-2.025727155330283
t3_t2	measurement	KMT2A	-2.0235785018689207
t0.5_t0	measurement	SOX6	2.0213148604069198
t4_t3	measurement	KLF5	2.019529455347253
t8_t4	measurement	MYB	-2.0132171293025016
t4_t3	measurement	TFAP4	-2.011394611741443
t1_t0.5	measurement	FLI1	-2.0082487887724825
t2_t1	measurement	E2F3	-2.0079992562529085
t0.5_t0	measurement	MYBL2	2.0059587069977525
t0.5_t0	measurement	TWIST1	1.9992166331756753
t4_t3	measurement	MYCN	1.9981157713599214
t3_t2	measurement	IRF9	-1.9950100269757927
t8_t4	measurement	STAT2	1.9887959916341431
t8_t4	measurement	NFYB	1.9845158737897848
t1_t0.5	measurement	TFAP2A	-1.9759385414155315
t1_t0.5	measurement	ESR1	-1.9745755745894848
t3_t2	measurement	NR2F2	-1.9731162040529373
t0.5_t0	measurement	ZNF274	1.9716988340475985
t0.5_t0	measurement	CEBPA	1.9709742279773208
t1_t0.5	measurement	E2F4	-1.9690070297104163
t3_t2	measurement	TFDP1	1.9676648178986964
t4_t3	measurement	ARNT	-1.9573773205056941
t2_t1	measurement	MYB	1.956706942687763
t2_t1	measurement	MNT	1.9554379730987952
t8_t4	measurement	CUX1	-1.9539333613541021
t4_t3	measurement	ELF1	-1.947177558597972
t8_t4	measurement	MAFG	-1.946511446697894
t3_t2	measurement	ETS2	-1.9442923442009818
t2_t1	measurement	AHR	1.9421488085614664
t2_t1	measurement	GATA3	1.9265755416370098
t3_t2	measurement	POU2F1	-1.9228460097491669
t4_t3	measurement	NR1H3	-1.9163344076642856
t0.5_t0	measurement	BACH1	1.9097709040538893
t2_t1	measurement	RUNX3	1.9086251417874724
t2_t1	measurement	STAT1	1.9075298973670889
t1_t0.5	measurement	USF1	1.8995279068776854
t1_t0.5	measurement	POU4F2	1.8986625495870533
t8_t4	measurement	HHEX	1.8972796861952719
t3_t2	measurement	NFE2L1	-1.893268916255856
t4_t3	measurement	ZBTB33	-1.890681699623845
